0,det
6,HI7000d
6,HI7001a
6,HI7002a
6,HI7039a
6,HI7003a
6,HI7040a
6,HI7005a
6,HI7006a
6,HI7007a
6,HI7009a
6,HI7010a
6,HI7011a
6,HI7012a
6,HI7013a
4,HI7014b
4,HI7015b
4,HI7043b
4,HI7016b
4,HI7017b
4,HI7059b
4,HI5093b
4,HI7019b
4,HI7020b
4,HI7046b
4,HI7022b
4,HI7023c
4,HI7065c
4,HI5056c
4,HI7025c
4,HI7026c
4,HI2068c
4,HI7048d
4,HI2075c
4,HI7049c
4,HI7029c
4,HI7050c
5,HI7052c
5,HI7064c
5,HI2105c
5,HI7032c
5,HI7054d
6,HI3002d
6,HI7035d
6,HI7056d
6,HI7057d
6,HI7058d
6,HI3008d
6,HI3009d
6,HI7060d
1,HI8051a
1,HI8053a
1,HI8074a
1,HI8054a
1,HI4034a
1,HI4038a
1,HI8005a
1,HI4036a
0,HI8007a
0,HI8008a
0,HI8056a
0,HI8009a
0,HI8010a
0,HI8057a
0,HI8011a
0,HI8058b
0,HI8014b
0,HI8015b
0,HI8016b
0,HI8017b
0,HI8059b
0,HI8018b
0,HI8019b
0,HI8020b
0,HI8021b
0,HI8022b
0,HI8072c
0,HI8073c
0,HI8023c
5,HI8025c
5,HI8026c
5,HI8062c
5,HI8027c
5,HI8063c
5,HI8064c
5,HI2063c
5,HI2065c
5,HI8030c
5,HI2092c
5,HI8034d
5,HI2081d
5,HI2072d
5,HI8037d
5,HI8038d
1,HI8039d
1,HI8040d
1,HI3052d
1,HI8068d
1,HI8042d
1,HI8043d
1,HI8044d
1,HI3058d
1,HI8047d
1,HI8048d
1,HI8050d
1,HI4005a
2,HI9001c
2,HI9002c
2,HI9003c
2,HI9004c
2,HI9005c
2,HI9006c
2,HI9007d
2,HI9008c
2,HI9009d
2,HI9010d
2,HI9011d
2,HI9012d
2,HI9013d
2,HI9014d
2,HI9015d
2,HI9016d
2,HI9017d
2,HI9018d
3,HI9019d
3,HI9020d
3,HI9021d
3,HI9022d
3,HI9067d
3,HI9068d
3,HI9069a
3,HI9070a
3,HI9023a
3,HI9024a
3,HI9025a
3,HI9026a
3,HI9028a
3,HI9029a
3,HI9030a
3,HI9031a
3,HI9032a
3,HI9071a
7,HI9033a
7,HI9034a
7,HI9072a
7,HI9035a
7,HI9036a
7,HI9038d
7,HI9039d
7,HI9040d
7,HI9041d
7,HI9042d
7,HI9043d
8,HI9044d
8,HI9045d
8,HI9046d
8,HI9047d
8,HI9074d
8,HI9049a
8,HI9050a
8,HI9051a
8,HI9052a
8,HI9053a
8,HI9054a
8,HI9055a
2,HI9056a
4,HI9057a
0,HI9077a
0,HI9078a
0,HI8020a
3,HI9079a
3,HI9020a
4,HI9080b
4,HI9059b
4,HI9060b
5,HI8062b
5,HI9061c
1,HI9062c
1,HI9063c
1,HI8039c
7,HI9064c
7,HI9065c
7,HI9040c
5,HI9088b
5,HI9090b
5,HI9091b
5,HI8030b
5,HI9092b
5,HI9093b
5,HI9094b
7,HI9034b
6,HI9081c
6,HI9082c
1,HI9083c
1,HI9068c
1,HI9084c
1,HI9085c
1,HI9086c
1,HI9087c
7,HI9041c
5,HI9095c
7,HI9096c
7,HI9102c
7,HI9037g
7,HI9097c
7,HI9098c
7,HI9099c
7,HI9101c
